id,contract_file,vulnerability,detector,function_name,function_code,dataset
0,0x2a0c0dbecc7e4d658f48e01e3fa353f44050c208,Re-entrancy,reentrancy-unlimited-gas,adminWithdraw,"    function adminWithdraw(address token, uint256 amount, address user, uint256 nonce, uint8 v, bytes32 r, bytes32 s, uint256 feeWithdrawal) onlyAdmin returns(bool success) {
        bytes32 hash = keccak256(this, token, amount, user, nonce);
        if (withdrawn[hash]) throw;
        withdrawn[hash] = true;
        if (ecrecover(keccak256(""\\x19Ethereum Signed Message:\\n32"", hash), v, r, s) != user) throw;
        if (feeWithdrawal > 50 finney) feeWithdrawal = 50 finney;
        if (tokens[token][user] < amount) throw;
        tokens[token][user] = safeSub(tokens[token][user], amount);
        tokens[token][feeAccount] = safeAdd(tokens[token][feeAccount], safeMul(feeWithdrawal, amount) / 1 ether);
        amount = safeMul((1 ether - feeWithdrawal), amount) / 1 ether;
        if (token == address(0)) {
            if (!user.send(amount)) throw;
        } else {
            if (!Token(token).transfer(user, amount)) throw;
        }
        lastActiveTransaction[user] = block.number;
        Withdraw(token, user, amount, tokens[token][user]);
    }",smartbugs_wild
1,0x2a0c0dbecc7e4d658f48e01e3fa353f44050c208,Re-entrancy,reentrancy-unlimited-gas,withdraw,"    function withdraw(address token, uint256 amount) returns(bool success) {
        if (safeSub(block.number, lastActiveTransaction[msg.sender]) < inactivityReleasePeriod) throw;
        if (tokens[token][msg.sender] < amount) throw;
        tokens[token][msg.sender] = safeSub(tokens[token][msg.sender], amount);
        if (token == address(0)) {
            if (!msg.sender.send(amount)) throw;
        } else {
            if (!Token(token).transfer(msg.sender, amount)) throw;
        }
        Withdraw(token, msg.sender, amount, tokens[token][msg.sender]);
    }",smartbugs_wild
2,0x06012c8cf97bead5deae237070f9587f8e7a266d,Re-entrancy,reentrancy-no-eth,createGen0Auction,"    function createGen0Auction(uint256 _genes) external onlyCOO {
        require(gen0CreatedCount < GEN0_CREATION_LIMIT);
        uint256 kittyId = _createKitty(0, 0, 0, _genes, address(this));
        _approve(kittyId, saleAuction);
        saleAuction.createAuction(
            kittyId,
            _computeNextGen0Price(),
            0,
            GEN0_AUCTION_DURATION,
            address(this)
        );
        gen0CreatedCount++;
    }",smartbugs_wild
3,0x06012c8cf97bead5deae237070f9587f8e7a266d,Re-entrancy,reentrancy-no-eth,giveBirth,"    function giveBirth(uint256 _matronId)
    external
    whenNotPaused
    returns(uint256) {
        Kitty storage matron = kitties[_matronId];
        require(matron.birthTime != 0);
        require(_isReadyToGiveBirth(matron));
        uint256 sireId = matron.siringWithId;
        Kitty storage sire = kitties[sireId];
        uint16 parentGen = matron.generation;
        if (sire.generation > matron.generation) {
            parentGen = sire.generation;
        }
        uint256 childGenes = geneScience.mixGenes(matron.genes, sire.genes, matron.cooldownEndBlock - 1);
        address owner = kittyIndexToOwner[_matronId];
        uint256 kittenId = _createKitty(_matronId, matron.siringWithId, parentGen + 1, childGenes, owner);
        delete matron.siringWithId;
        pregnantKitties--;
        msg.sender.send(autoBirthFee);
        return kittenId;
    }",smartbugs_wild
4,0x06012c8cf97bead5deae237070f9587f8e7a266d,Re-entrancy,reentrancy-eth,bidOnSiringAuction,"    function bidOnSiringAuction(
        uint256 _sireId,
        uint256 _matronId
    )
    external
    payable
    whenNotPaused {
        require(_owns(msg.sender, _matronId));
        require(isReadyToBreed(_matronId));
        require(_canBreedWithViaAuction(_matronId, _sireId));
        uint256 currentPrice = siringAuction.getCurrentPrice(_sireId);
        require(msg.value >= currentPrice + autoBirthFee);
        siringAuction.bid.value(msg.value - autoBirthFee)(_sireId);
        _breedWith(uint32(_matronId), uint32(_sireId));
    }",smartbugs_wild
5,0x06012c8cf97bead5deae237070f9587f8e7a266d,Timestamp-Dependency,timestamp,isPregnant,"    function isPregnant(uint256 _kittyId)
    public
    view
    returns(bool) {
        require(_kittyId > 0);
        return kitties[_kittyId].siringWithId != 0;
    }",smartbugs_wild
6,0x06012c8cf97bead5deae237070f9587f8e7a266d,Timestamp-Dependency,timestamp,breedWithAuto,"    function breedWithAuto(uint256 _matronId, uint256 _sireId)
    external
    payable
    whenNotPaused {
        require(msg.value >= autoBirthFee);
        require(_owns(msg.sender, _matronId));
        require(_isSiringPermitted(_sireId, _matronId));
        Kitty storage matron = kitties[_matronId];
        require(_isReadyToBreed(matron));
        Kitty storage sire = kitties[_sireId];
        require(_isReadyToBreed(sire));
        require(_isValidMatingPair(
            matron,
            _matronId,
            sire,
            _sireId
        ));
        _breedWith(_matronId, _sireId);
    }",smartbugs_wild
7,0x06012c8cf97bead5deae237070f9587f8e7a266d,Timestamp-Dependency,timestamp,tokensOfOwner,"    function tokensOfOwner(address _owner) external view returns(uint256[] ownerTokens) {
        uint256 tokenCount = balanceOf(_owner);
        if (tokenCount == 0) {
            return new uint256[](0);
        } else {
            uint256[] memory result = new uint256[](tokenCount);
            uint256 totalCats = totalSupply();
            uint256 resultIndex = 0;
            uint256 catId;
            for (catId = 1; catId <= totalCats; catId++) {
                if (kittyIndexToOwner[catId] == _owner) {
                    result[resultIndex] = catId;
                    resultIndex++;
                }
            }
            return result;
        }
    }",smartbugs_wild
8,0x06012c8cf97bead5deae237070f9587f8e7a266d,Unhandled-Exceptions,unchecked-send,withdrawBalance,"    function withdrawBalance() external onlyCFO {
        uint256 balance = this.balance;
        uint256 subtractFees = (pregnantKitties + 1) * autoBirthFee;
        if (balance > subtractFees) {
            cfoAddress.send(balance - subtractFees);
        }
    }",smartbugs_wild
9,0x06012c8cf97bead5deae237070f9587f8e7a266d,Re-entrancy,reentrancy-benign,setGeneScienceAddress,"    function setGeneScienceAddress(address _address) external onlyCEO {
        GeneScienceInterface candidateContract = GeneScienceInterface(_address);
        require(candidateContract.isGeneScience());
        geneScience = candidateContract;
    }",smartbugs_wild
10,0x06012c8cf97bead5deae237070f9587f8e7a266d,Re-entrancy,reentrancy-benign,setSiringAuctionAddress,"    function setSiringAuctionAddress(address _address) external onlyCEO {
        SiringClockAuction candidateContract = SiringClockAuction(_address);
        require(candidateContract.isSiringClockAuction());
        siringAuction = candidateContract;
    }",smartbugs_wild
11,0x06012c8cf97bead5deae237070f9587f8e7a266d,Re-entrancy,reentrancy-benign,setSaleAuctionAddress,"    function setSaleAuctionAddress(address _address) external onlyCEO {
        SaleClockAuction candidateContract = SaleClockAuction(_address);
        require(candidateContract.isSaleClockAuction());
        saleAuction = candidateContract;
    }",smartbugs_wild
12,0xd1ceeeeee83f8bcf3bedad437202b6154e9f5405,Re-entrancy,reentrancy-unlimited-gas,sendFunds,"    function sendFunds(address beneficiary, uint amount, uint successLogAmount) private {
        if (beneficiary.send(amount)) {
            emit Payment(beneficiary, successLogAmount);
        } else {
            emit FailedPayment(beneficiary, amount);
        }
    }",smartbugs_wild
13,0x6090a6e47849629b7245dfa1ca21d94cd15878ef,Timestamp-Dependency,timestamp,isAllowed,"    function isAllowed(bytes32 _hash, uint _timestamp) constant returns(bool allowed) {
        return _timestamp > getAllowedTime(_hash);
    }",smartbugs_wild
14,0x6090a6e47849629b7245dfa1ca21d94cd15878ef,Timestamp-Dependency,timestamp,cancelBid,"    function cancelBid(address bidder, bytes32 seal) {
        Deed bid = sealedBids[bidder][seal];
        if (address(bid) == 0 ||
            now < bid.creationDate() + totalAuctionLength + 2 weeks) throw;
        bid.setOwner(msg.sender);
        bid.closeDeed(5);
        sealedBids[bidder][seal] = Deed(0);
        BidRevealed(seal, bidder, 0, 5);
    }",smartbugs_wild
15,0x6090a6e47849629b7245dfa1ca21d94cd15878ef,Timestamp-Dependency,timestamp,state,"    function state(bytes32 _hash) constant returns(Mode) {
        var entry = _entries[_hash];
        if (!isAllowed(_hash, now)) {
            return Mode.NotYetAvailable;
        } else if (now < entry.registrationDate) {
            if (now < entry.registrationDate - revealPeriod) {
                return Mode.Auction;
            } else {
                return Mode.Reveal;
            }
        } else {
            if (entry.highestBid == 0) {
                return Mode.Open;
            } else {
                return Mode.Owned;
            }
        }
    }",smartbugs_wild
16,0x6090a6e47849629b7245dfa1ca21d94cd15878ef,Timestamp-Dependency,timestamp,releaseDeed,"    function releaseDeed(bytes32 _hash) onlyOwner(_hash) {
        entry h = _entries[_hash];
        Deed deedContract = h.deed;
        if (now < h.registrationDate + 1 years && ens.owner(rootNode) == address(this)) throw;
        h.value = 0;
        h.highestBid = 0;
        h.deed = Deed(0);
        _tryEraseSingleNode(_hash);
        deedContract.closeDeed(1000);
        HashReleased(_hash, h.value);
    }",smartbugs_wild
17,0x6090a6e47849629b7245dfa1ca21d94cd15878ef,Re-entrancy,reentrancy-no-eth,invalidateName,"    function invalidateName(string unhashedName) inState(sha3(unhashedName), Mode.Owned) {
        if (strlen(unhashedName) > 6) throw;
        bytes32 hash = sha3(unhashedName);
        entry h = _entries[hash];
        _tryEraseSingleNode(hash);
        if (address(h.deed) != 0) {
            h.value = max(h.value, minPrice);
            h.deed.setBalance(h.value / 2, false);
            h.deed.setOwner(msg.sender);
            h.deed.closeDeed(1000);
        }
        HashInvalidated(hash, unhashedName, h.value, h.registrationDate);
        h.value = 0;
        h.highestBid = 0;
        h.deed = Deed(0);
    }",smartbugs_wild
18,0x6090a6e47849629b7245dfa1ca21d94cd15878ef,Re-entrancy,reentrancy-no-eth,unsealBid,"    function unsealBid(bytes32 _hash, uint _value, bytes32 _salt) {
        bytes32 seal = shaBid(_hash, msg.sender, _value, _salt);
        Deed bid = sealedBids[msg.sender][seal];
        if (address(bid) == 0) throw;
        sealedBids[msg.sender][seal] = Deed(0);
        entry h = _entries[_hash];
        uint value = min(_value, bid.value());
        bid.setBalance(value, true);
        var auctionState = state(_hash);
        if (auctionState == Mode.Owned) {
            bid.closeDeed(5);
            BidRevealed(_hash, msg.sender, value, 1);
        } else if (auctionState != Mode.Reveal) {
            throw;
        } else if (value < minPrice || bid.creationDate() > h.registrationDate - revealPeriod) {
            bid.closeDeed(995);
            BidRevealed(_hash, msg.sender, value, 0);
        } else if (value > h.highestBid) {
            if (address(h.deed) != 0) {
                Deed previousWinner = h.deed;
                previousWinner.closeDeed(995);
            }
            h.value = h.highestBid; 
            h.highestBid = value;
            h.deed = bid;
            BidRevealed(_hash, msg.sender, value, 2);
        } else if (value > h.value) {
            h.value = value;
            bid.closeDeed(995);
            BidRevealed(_hash, msg.sender, value, 3);
        } else {
            bid.closeDeed(995);
            BidRevealed(_hash, msg.sender, value, 4);
        }
    }",smartbugs_wild
19,0x6090a6e47849629b7245dfa1ca21d94cd15878ef,Re-entrancy,reentrancy-no-eth,finalizeAuction,"    function finalizeAuction(bytes32 _hash) onlyOwner(_hash) {
        entry h = _entries[_hash];
        h.value = max(h.value, minPrice);
        h.deed.setBalance(h.value, true);
        trySetSubnodeOwner(_hash, h.deed.owner());
        HashRegistered(_hash, h.deed.owner(), h.value, h.registrationDate);
    }",smartbugs_wild
20,0x6090a6e47849629b7245dfa1ca21d94cd15878ef,Re-entrancy,reentrancy-no-eth,transferRegistrars,"    function transferRegistrars(bytes32 _hash) onlyOwner(_hash) {
        var registrar = ens.owner(rootNode);
        if (registrar == address(this))
            throw;
        entry h = _entries[_hash];
        h.deed.setRegistrar(registrar);
        Registrar(registrar).acceptRegistrarTransfer(_hash, h.deed, h.registrationDate);
        h.deed = Deed(0);
        h.registrationDate = 0;
        h.value = 0;
        h.highestBid = 0;
    }",smartbugs_wild
21,0x6090a6e47849629b7245dfa1ca21d94cd15878ef,Re-entrancy,reentrancy-benign,startAuction,"    function startAuction(bytes32 _hash) registryOpen() {
        var mode = state(_hash);
        if (mode == Mode.Auction) return;
        if (mode != Mode.Open) throw;
        entry newAuction = _entries[_hash];
        newAuction.registrationDate = now + totalAuctionLength;
        newAuction.value = 0;
        newAuction.highestBid = 0;
        AuctionStarted(_hash, newAuction.registrationDate);
    }",smartbugs_wild
22,0x6090a6e47849629b7245dfa1ca21d94cd15878ef,Re-entrancy,reentrancy-benign,startAuctionsAndBid,"    function startAuctionsAndBid(bytes32[] hashes, bytes32 sealedBid) payable {
        startAuctions(hashes);
        newBid(sealedBid);
    }",smartbugs_wild
23,0xb1690c08e213a35ed9bab7b318de14420fb57d8c,Re-entrancy,reentrancy-benign,createAuction,"    function createAuction(
        uint256 _tokenId,
        uint256 _startingPrice,
        uint256 _endingPrice,
        uint256 _duration,
        address _seller
    )
    external
    whenNotPaused {
        require(_startingPrice == uint256(uint128(_startingPrice)));
        require(_endingPrice == uint256(uint128(_endingPrice)));
        require(_duration == uint256(uint64(_duration)));
        require(_owns(msg.sender, _tokenId));
        _escrow(msg.sender, _tokenId);
        Auction memory auction = Auction(
            _seller,
            uint128(_startingPrice),
            uint128(_endingPrice),
            uint64(_duration),
            uint64(now)
        );
        _addAuction(_tokenId, auction);
    }",smartbugs_wild
24,0xb1690c08e213a35ed9bab7b318de14420fb57d8c,Re-entrancy,reentrancy-benign,bid,"    function bid(uint256 _tokenId)
    external
    payable {
        address seller = tokenIdToAuction[_tokenId].seller;
        uint256 price = _bid(_tokenId, msg.value);
        _transfer(msg.sender, _tokenId);
        if (seller == address(nonFungibleContract)) {
            lastGen0SalePrices[gen0SaleCount % 5] = price;
            gen0SaleCount++;
        }
    }",smartbugs_wild
25,0xb1690c08e213a35ed9bab7b318de14420fb57d8c,Timestamp-Dependency,timestamp,_bid,"    function _bid(uint256 _tokenId, uint256 _bidAmount)
    internal
    returns(uint256) {
        Auction storage auction = tokenIdToAuction[_tokenId];
        require(_isOnAuction(auction));
        uint256 price = _currentPrice(auction);
        require(_bidAmount >= price);
        address seller = auction.seller;
        _removeAuction(_tokenId);
        if (price > 0) {
            uint256 auctioneerCut = _computeCut(price);
            uint256 sellerProceeds = price - auctioneerCut;
            seller.transfer(sellerProceeds);
        }
        uint256 bidExcess = _bidAmount - price;
        msg.sender.transfer(bidExcess);
        AuctionSuccessful(_tokenId, price, msg.sender);
        return price;
    }",smartbugs_wild
